rawcode,shop,name_ru,name_en,category,element,rank,goldcost,STR,AGI,INT,AllStat,DMG,DEF,MS,AS,MaxHP,MaxMP,HP_regen,MP_regen,Lifesteal,Crit,Evasion,active_CD,active_mana,abilities_resolved,description_ru,description_en,crafted_from,crafts_into
I04J,Base Items (n004),Дроид-охранник mk.II (рецепт),Guard Droid Mk.II (Recipe),,,,2350,,,,,,,,,,,,,,,,,,,"Увеличивает AllStat на 20, регенерацию маны на 50% и HP на 10 ед. Активная способность:""Дроид-охранник"" - устанавливает в указанную область вард, на 80 сек. |  | Перезарядка: 25 сек. |  | Требуется: Дроид-охранник х2, Улучшить предмет.","Increases AllStat by 20, MP regen by 50% and HP regen by 10. Active ability: ""Guard Droid"" - places a ward in targeted area for 80 sec. | Cooldown: 25 sec. | Requires: Guard Droid x2, Upgrade Item.",,
I067,Base Items (n004),Дроид-охранник mk.III (рецепт),Guard Droid Mk.III (Recipe),,,,3450,,,,,,,,,,,,,,,,,,,"Увеличивает AllStat на 25, регенерацию MP на 75% и регенерацию HP на 20 ед., +500 HP. Активная способность:""Дроид-охранник"" - устанавливает в указанную область вард, на 100 сек. |  | Перезарядка: 20 сек. |  | Требуется: Дроид-охранник mk.II, Шапка мадао.","Increases AllStat by 25, MP regen by 75% and HP regen by 20, +500 HP. Active ability: ""Guard Droid"" - places a ward in targeted area for 100 sec. | Cooldown: 20 sec. | Requires: Guard Droid Mk.II, Madao Hat.",,
I03M,Recipes (n005),Перчатки Вонголы Ver. X (рецепт),Vongola X Gloves (Recipe),,,,4800,,,,,,,,,,,,,,,,,,,"Увеличение AS героя на 175%, AllStat на 35 |  | Active: ""Burning Axel"" - бросок огненного шара, который взрывается, при попадании в первого попавшегося врага, наносящего AllStat*2 и оглушая на 0.2 сек в области 500 AoE. Дополнительно, герой начинает наносить на 15% больше урона в течении 6 секунд. |  | Перезарядка: 25 сек. |  | Требуется: Перчатки Вонголы,6хУлучшить предмет.","Increases hero AS by 175%, AllStat by 35. | Active: ""Burning Axel"" - throws a fireball that explodes on hitting the first enemy, dealing AllStat*2 and stunning for 0.2 sec in 500 AoE. Additionally, the hero deals 15% more damage for 6 sec. | Cooldown: 25. | Requires: Vongola Gloves, 6x Upgrade Item.",,
I125,Recipes 4 (n108),Сфера Времени (рецепт),Time Sphere (Recipe),,,,750,,,,,,,,,,,,,,,,,,,"Увеличивает AllStat на 30 ед и регенерацию маны на 25%. . Способность: ""Возврат"" - мгновенно телепортирует героя(владельца сферы) в то место, в котором он был 4 сек. назад. Не работают в Т Широ. |  | Перезарядка: 10 сек. |  | Требуется: Посох Тьмы Ранга A(2750)+Рецепт(750).","Increases AllStat by 30 and MP regen by 25%. Ability: ""Return"" - instantly teleports the hero (sphere owner) to the location they were 4 sec ago. Does not work in Shiro T. | Cooldown: 10 sec. | Requires: Staff of Darkness Rank A (2750) + Recipe (750).",,Time Sphere (I03P)
I03P,Ultimate Items (n00E),Сфера Времени,Time Sphere,,,,3500,,,,30,,,,,,,,25,,,,10,150,Active CD=10s mana=150 (A0VS); +30 AllStat (A06P); +25% MP regen (A04M),"Увеличивает AllStat на 30 ед и регенерацию маны на 25%. . Способность: ""Возврат"" - мгновенно телепортирует героя(владельца сферы) в то место, в котором он был 4 сек. назад. Не работают в Т Широ. |  | Перезарядка: 10 сек.","Increases AllStat by 30 and MP regen by 25%. Ability: ""Return"" - instantly teleports the hero (sphere owner) to the location they were 4 sec ago. Does not work in Shiro T. | Cooldown: 10 sec.","Staff of Darkness, Rank A (I01Z) + Time Sphere (Recipe) (I125)",
I124,Recipes 4 (n108),Сфера Пространства (рецепт),Space Sphere (Recipe),,,,750,,,,,,,,,,,,,,,,,,,"Увеличивает AllStat на 30 и регенерацию маны на 25%.  | Active: ""Портал"" - мгновенно телепортирует указанного героя в то место, в котором он был 4 сек. назад. Не работают в Т Широ и врага под Imagine Breaker. |  |  | Перезарядка: 10 сек. |  | Требуется: Посох Тьмы Ранга A(2750)+Рецепт(750).","Increases AllStat by 30 and MP regen by 25%. | Active: ""Portal"" - instantly teleports a targeted hero to the location they were 4 sec ago. Does not work in Shiro T and on enemies with Imagine Breaker. | Cooldown: 10 sec. | Requires: Staff of Darkness Rank A (2750) + Recipe (750).",,Space Sphere (I03Q)
I01Z,,"Посох Тьмы, Ранг A","Staff of Darkness, Rank A",,,,2750,,,,20,40,,,40,,,,,,,,,,"Dark Aura: -40% enemy DMG, range 600 (A096); +40% AS (A0Y4); +40 DMG (A05W); +20 AllStat (A0EO)","Повышение силы атаки на 40 ед., AS +40%, повышение AllStat на 20 ед. |  | Аура Тьмы: уменьшение силы атаки противника на 40%","Increases AD by 40, AS +40%, AllStat by 20. | Dark Aura: reduces enemy AD by 40%.","Staff of Darkness, Rank B (I01Y) + Upgrade Item (I00E)","Space Sphere (I03Q) , Time Sphere (I03P) , Sealed Staff of Darkness (I06C) , Staff of the West Wind (I04G)"
I03Q,Ultimate Items (n00E),Сфера Пространства,Space Sphere,,,,3500,,,,30,,,,,,,,25,,,,10,150,Active CD=10s mana=150 (A0VT); +30 AllStat (A06P); +25% MP regen (A04M),"Увеличивает AllStat на 30 и регенерацию маны на 25%.  | Active: ""Портал"" - мгновенно телепортирует указанного героя в то место, в котором он был 4 сек. назад. Не работают в Т Широ и врага под Imagine Breaker. |  |  | Перезарядка: 10 сек.","Increases AllStat by 30 and MP regen by 25%. | Active: ""Portal"" - instantly teleports a targeted hero to the location they were 4 sec ago. Does not work in Shiro T and on enemies with Imagine Breaker. | Cooldown: 10 sec.","Staff of Darkness, Rank A (I01Z) + Space Sphere (Recipe) (I124)",
I103,Recipes 3 (n0J2),Сапоги Побега (Рецепт),Escape Boots (Recipe),,,,1100,,,,,,,,,,,,,,,,,,,"Повышение MS на 250, увеличение AllStat на 30. |  | Passive: Дает шанс 50% уклониться от удара |  | Active: ""Бегство"" - увеличивает MS(+1000%) и AS(+100%) владельцу и союзникам в радиусе 1000 , в течении 7 сек. | Работает с 4 раунда | Перезарядка: 15 сек. | Требуется:Сапоги скорости,Медаль Храбрости, Туфли Анбу,Рецепт.","Increases MS by 250, AllStat by 30. | Passive: 50% chance to dodge attacks. | Active: ""Escape"" - increases MS (+1000%) and AS (+100%) for the owner and allies in radius 1000 for 7 sec. | Available from round 4. | Cooldown: 15 sec. | Requires: Speed Boots, Medallion of Courage, ANBU Shoes, Recipe.",,Escape Boots (I102)
I102,Ultimate Items (n00E),Сапоги Побега,Escape Boots,Boots,,,4000,,,,30,,,250,,,,,,,,50,15,150,Active CD=15s mana=150 (AI10); +250 MS (A0HH); +30 AllStat (A06P); 50% Evasion (JASS) (AI11),"Повышение MS на 250, увеличение AllStat на 30. |  | Passive: Дает шанс 50% уклониться от удара |  | Active: ""Бегство"" - увеличивает MS(+1000%) и AS(+100%) владельцу и союзникам в радиусе 1000 , в течении 7 сек. | Работает с 4 раунда | Перезарядка: 15 сек.","Increases MS by 250, AllStat by 30. | Passive: 50% chance to dodge attacks. | Active: ""Escape"" - increases MS (+1000%) and AS (+100%) for the owner and allies in radius 1000 for 7 sec. | Available from round 4. | Cooldown: 15 sec.",Speed Boots (I01F) + Medallion of Courage (I01M) + ANBU Shoes (I03E) + Escape Boots (Recipe) (I103),
I047,Recipes (n005),Ураганные Сапоги (рецепт),Hurricane Boots (Recipe),,,,1400,,,,,,,,,,,,,,,,,,,"Повышение MS до максимума, увеличение AllStat на 30 | Active: ""Тайфун"" |  | Перезарядка: 10 сек. |  | Требуется: Сапоги скорости,Сфера Ветра,Медаль Храбрости, Рецепт.","Increases MS to maximum, AllStat by 30. | Active: ""Typhoon"" | Cooldown: 10 sec. | Requires: Speed Boots, Wind Sphere, Medallion of Courage, Recipe.",,Hurricane Boots (I046)
I046,Ultimate Items (n00E),Ураганные сапоги,Hurricane Boots,Boots,,,5000,,,,30,,,200,,,,,,,,,10,150,Active CD=10s mana=150 (A0WP); +200 MS (A0HQ); +30 AllStat (A06P),"Повышение MS на 200, увеличение AllStat на 30. |  | Active: ""Тайфун"" - героя толкает в ту сторону, куда он смотрит на расстояние 600 и дает ускорение на 25% на 4 сек. |  | Перезарядка: 10 сек.","Increases MS by 200, AllStat by 30. | Active: ""Typhoon"" - pushes the hero in the direction they are facing for 600 distance and grants 25% MS boost for 4 sec. | Cooldown: 10 sec.",Speed Boots (I01F) + Medallion of Courage (I01M) + Wind Sphere (I02T) + Hurricane Boots (Recipe) (I047),
I055,Recipes (n005),Ледяные сапоги (рецепт),Ice Boots (Recipe),Boots,,,1100,,,,,,,,,,,,,,,,,,,"Повышение MS на 300, увеличение AllStat на 30. |  | Active: ""Заморозка мозгов""  |  | Перезарядка: 30 сек. |  | Требуется:Сапоги скорости,Медаль Храбрости, Сфера Льда, Рецепт.","Increases MS by 300, AllStat by 30. | Active: ""Brain Freeze"" | Cooldown: 30 sec. | Requires: Speed Boots, Medallion of Courage, Ice Sphere, Recipe.",,Ice Boots (I054)
I054,Ultimate Items (n00E),Ледяные сапоги,Ice Boots,Boots,,,5000,,,,30,,,300,,,,,,,,,30,100,Active CD=30s mana=100 (A15E); +300 MS (A15D); +30 AllStat (A06P),"Повышение MS на 300, увеличение AllStat на 30. |  | Active: ""Заморозка мозгов"" - мгновенно восстанавливает 20% маны, также в течении 5 сек. у героя не тратится мана. |  | Перезарядка: 30 сек.","Increases MS by 300, AllStat by 30. | Active: ""Brain Freeze"" - instantly restores 20% mana, also for 5 sec the hero does not spend mana. | Cooldown: 30 sec.",Speed Boots (I01F) + Ice Sphere (I02S) + Medallion of Courage (I01M) + Ice Boots (Recipe) (I055),
I001,,Circlet of Nobility,Circlet of Nobility,,,,125,,,,2,,,,,,,,,,,,,,+2 AllStat (AIx2),"Increases the Strength, Agility and Intelligence of the Hero by 2 when worn.","Increases the Strength, Agility and Intelligence of the Hero by 2 when worn.",,"Bracers of Strength (I002) , Sage's Mantle (I004) , Agility Boots (I006)"
I000,,Руковицы силы,Gauntlets of Strength,,,,175,3,,,,,,,,,,,,,,,,,+3 STR (AIs3),Increases the Strength of the Hero by 3 when worn.,Increases the Strength of the Hero by 3 when worn.,,Bracers of Strength (I002)
I003,,Мантия ученого,Scholar's Mantle,,,,175,,,3,,,,,,,,,,,,,,,+3 INT (AIi3),Increases the Intelligence of the Hero by 3 when worn.,Increases the Intelligence of the Hero by 3 when worn.,,Sage's Mantle (I004)
I005,,Туфли Ловкости ,Agility Slippers,,,,175,,3,,,,,,,,,,,,,,,,+3 AGI (AIa3),Increases the Agility of the Hero by 3 when worn.,Increases the Agility of the Hero by 3 when worn.,,Agility Boots (I006)
I002,,Браслеты силы,Bracers of Strength,,,,300,6,3,3,,,,,,,,,,,,,,,"+6 STR, +3 AGI, +3 INT (A03K)",Повышение силы героя на 6 ед. и ост. характеристик на 3 ед.,Increases hero STR by 6 and other stats by 3.,Gauntlets of Strength (I000) + Circlet of Nobility (I001),Medallion of Courage (I01M)
I004,,Мантия мудреца,Sage's Mantle,,,,300,3,3,6,,,,,,,,,,,,,,,"+3 STR, +3 AGI, +6 INT (A03L)",Повышение разума героя на 6 ед. и ост. характеристик на 3 ед.,Increases hero INT by 6 and other stats by 3.,Scholar's Mantle (I003) + Circlet of Nobility (I001),Medallion of Courage (I01M)
I006,,Сапоги Ловкости ,Agility Boots,,,,300,3,6,3,,,,,,,,,,,,,,,"+3 STR, +6 AGI, +3 INT (A03M)",Повышение ловкости героя на 6 ед. и ост. характеристик на 3 ед.,Increases hero AGI by 6 and other stats by 3.,Agility Slippers (I005) + Circlet of Nobility (I001),Medallion of Courage (I01M)
I008,Base Items (n004),Перчатки Вонголы,Vongola Gloves,,,,300,,,,,,,,15,,,,,,,,,,+15% AS (AIsx),Увеличение AS героя на 15%.,Increases hero AS by 15%.,,"Speed Boots (I01F) , Vongola Gloves Lv.1 (I03G) , Medusa - Dr.Stone (IMDi)"
I04K,,Boots of Speed,Boots of Speed,,,,300,,,,,,,60,,,,,,,,,,,+60 MS (AIms),Ускорение перемещения героя на 60 ед.,Increases hero movement speed by 60.,,Speed Boots (I01F)
I01G,,Сапоги скорости (рецепт),Speed Boots (Recipe),,,,400,,,,,,,,,,,,,,,,,,,"Ускорение перемещения героя на 100 ед., DEF на 5 ед. и AllStat на 15 ед. |  | Требуется: Сапоги-скороходы, Перчатки Вонголы, Рецепт.","Increases hero MS by 100, DEF by 5 and AllStat by 15. | Requires: Boots of Speed, Vongola Gloves, Recipe.",,Speed Boots (I01F)
I01M,Base Items (n004),Medallion of Courage,Medallion of Courage,,,,900,,,,14,,,,,,,,,,,,,,+14 AllStat (A2VM),Повышение AllStat на 14.,Increases AllStat by 14.,Agility Boots (I006) + Sage's Mantle (I004) + Bracers of Strength (I002),"Fire Boots (I02W) , Hurricane Boots (I046) , Ice Essence (I04L) , Gegetsuburi [Weapon] (I050) , Imagine Breaker (I04V) , Patriot [Weapon] (I031) , Escape Boots (I102) , Ice Boots (I054)"
I01F,Base Items (n004),Сапоги скорости,Speed Boots,Boots,,,1000,,,,17,,,100,,,,,,,,,,,+17 AllStat (A121); +100 MS (A06H),Ускорение перемещения героя на 100 ед. и AllStat на 17 ед.,Increases hero MS by 100 and AllStat by 17.,Boots of Speed (I04K) + Speed Boots (Recipe) (I01G) + Vongola Gloves (I008),"Fire Boots (I02W) , Hurricane Boots (I046) , Escape Boots (I102) , Ice Boots (I054)"
I02X,Recipes (n005),Огненные сапоги (рецепт),Fire Boots (Recipe),,,,1200,,,,,,,,,,,,,,,,,,,"Повышение MS до максимума, увеличение AllStat на 30 | Active: ""Огненный бег"" |  | Перезарядка: 50 сек. |  | Требуется: Сапоги скорости,Сфера огня,Медаль Храбрости, Рецепт.","Increases MS to maximum, AllStat by 30. | Active: ""Fire Run"" | Cooldown: 50 sec. | Requires: Speed Boots, Fire Sphere, Medallion of Courage, Recipe.",,Fire Boots (I02W)
I02R,Ultimate Items (n00E),Orb of Fire,Orb of Fire,,,,2000,20,,,,,,,,,,5,,,,,,,"+5 HP/s regen (A127); +20 STR (A03T); Aura: +20 HP/s, +6 regen (radius 1500) (A0X1)","Увеличивает STR героя на 20 ед. и регенерацию на 6 ед. в радиусе 1500 ед. |  | ""Регенерация"" - восстанавливает 100 +(5*Уровень героя) HP за 10 сек в 900 AoE. |  | Перезарядка: 20 сек.","Increases hero STR by 20 and regen by 6 in radius 1500. | ""Regeneration"" - restores 100 + (5*Hero Level) HP over 10 sec in 900 AoE. | Cooldown: 20 sec.",,"Fire Boots (I02W) , Seal of Elements (I044) , Alastor (I03A) , Blood Sphere (I043) , Holy Grail (I068)"
I02W,Ultimate Items (n00E),Огненные сапоги,Fire Boots,Boots,,,5100,,,,30,,,200,,,,,,,,,60,350,Active: AoE Stun CD=60s mana=350 (A0HR); +200 MS (A0HQ); +30 AllStat (A06P),"Повышение MS на 200, увеличение AllStat на 30. |  | Active: ""Огненный бег"" - позволяет преодолеть максимальный MS, каждая AGI дает 0.5 ед. MS, также создает огненный след. |  | Перезарядка: 50 сек.","Increases MS by 200, AllStat by 30. | Active: ""Fire Run"" - allows exceeding max MS, each AGI gives 0.5 MS, also creates a fire trail. | Cooldown: 50 sec.",Speed Boots (I01F) + Medallion of Courage (I01M) + Orb of Fire (I02R) + Fire Boots (Recipe) (I02X),
I108,Recipes 4 (n108),Сфера Крови (рецепт),Blood Sphere (Recipe),,,,2000,,,,,,,,,,,,,,,,,,,"Увеличивает AllStat на 15 HP и MP на 1500, MP Regen на 150% и HP Regen на 20 ед. | Активно: Крадет 5% Max HP и MP всех врагов в радиусе 1200 и переносит их герою. | Перезарядка: 25 сек |  | Требуется: Сфера Льда(2000)+Сфера Огня(2000)+Рецепт(2000).","Increases AllStat by 15, HP and MP by 1500, MP Regen by 150% and HP Regen by 20. | Active: Steals 5% Max HP and MP from all enemies in radius 1200 and transfers them to the hero. | Cooldown: 25 sec. | Requires: Ice Sphere (2000) + Fire Sphere (2000) + Recipe (2000).",,Blood Sphere (I043)
I043,Ultimate Items (n00E),Сфера Крови,Blood Sphere,,,,6000,,,,15,,,,,1500,1500,20,150,,,,25,200,Active CD=25s mana=200 (A0WL); Spellbook: [+1500 Max MP (A0WY); +1500 Max HP (A0WZ); +20 HP/s regen (A03V); +150% MP regen (A04R)] (A0WK); +15 AllStat (JNF5),"Увеличивает AllStat на 15 HP и MP на 1500, MP Regen на 150% и HP Regen на 20 ед.  |  | Активно: Крадет 5% Max HP и MP всех врагов в радиусе 1200 и переносит их герою. |  | Перезарядка: 25 сек.","Increases AllStat by 15, HP and MP by 1500, MP Regen by 150% and HP Regen by 20. | Active: Steals 5% Max HP and MP from all enemies in radius 1200 and transfers them to the hero. | Cooldown: 25 sec.",Orb of Fire (I02R) + Ice Sphere (I02S) + Blood Sphere (Recipe) (I108),
IPar,Recipes 2 (n015),Патриот (рецепт),Patriot (Recipe),,,,500,,,,,,,,,,,,,,,,,,,"Повышение силы атаки на 75 ед., AllStat на 25 ед. | Passive: ""Патриотизм"" - каждый удар, либо базовый урон(без учета Onizuka/Tesseract и тд) свыше 300 крадет 3 AllStat врага на 10 сек. | ""Бессмысленность"" - кража 5 AllStat каждый раунд до 40 на 15 сек. |  | Перезарядка: 45 сек. |  | Сборка: Закаленный Меч + Медаль Храбрости + Рецепт","Increases AD by 75, AllStat by 25. | Passive: ""Patriotism"" - each hit or base damage (excluding Onizuka/Tesseract etc.) over 300 steals 3 AllStat from enemy for 10 sec. | ""Pointlessness"" - steals 5 AllStat each round up to 40 for 15 sec. | Cooldown: 45 sec.",,Patriot [Weapon] (I031)
I031,Weapons (n00F),Патриот |r|c00FF5555Weapon|r,Patriot [Weapon],,,,5000,,,,25,75,,,,,,,,,,,45,50,Active CD=45s mana=50 (A0NF); +75 DMG (A46M); +25 AllStat (A060),"Повышение силы атаки на 75 ед., AllStat на 25 ед. | Passive: ""Патриотизм"" - каждый удар, либо базовый урон(без учета Onizuka/Tesseract и тд) свыше 300 крадет 3 AllStat врага на 10 сек. | ""Бессмысленность"" - кража 5 AllStat каждый раунд до 40 на 15 сек. |  | Перезарядка: 45 сек.","Increases AD by 75, AllStat by 25. | Passive: ""Patriotism"" - each hit or base damage (excluding Onizuka/Tesseract etc.) over 300 steals 3 AllStat from enemy for 10 sec. | ""Pointlessness"" - steals 5 AllStat each round up to 40 for 15 sec. | Cooldown: 45 sec.",Tempered Sword [Weapon] (I01L) + Medallion of Courage (I01M) + Patriot (Recipe) (IPar),
I051,Recipes 2 (n015),Гегецубури (рецепт),Gegetsuburi (Recipe),,,,1500,,,,,,,,,,,,,,,,,,,"Повышение AllStat на 30,увеличение атаки на 90 ед., каждая атака дополнительно наносит 80 ед. чистого урона, пробивающий резисты, но не щиты. |   | Passive: ""Оглушающий удар""  |  | Active: Бросок шара летящего в направлении до первого врага в радиусе 150 либо дальности 1500,нанося урон авто-атака х1.5 в области 300 и оглушение 1.5 сек. | CD: 20 сек |  | Требуется:Меч Анбу,Шапка Мадао,Медаль Храбрости,Рецепт.","Increases AllStat by 30, AD by 90, each attack additionally deals 80 pure damage (pierces resists but not shields). | Passive: ""Stunning Blow"" | Active: Throws a projectile toward the first enemy in radius 150 or range 1500, dealing autoattack x1.5 in area 300 and stunning for 1.5 sec. | CD: 20 sec. | Requires: ANBU Sword, Madao Hat, Medallion of Courage, Recipe.",,Gegetsuburi [Weapon] (I050)
I050,Weapons (n00F),Гегецубури |r|c00FF5555Weapon|r,Gegetsuburi [Weapon],,,,5000,,,,30,90,,,,,,,,,,,25,100,Active CD=25s mana=100 (AI33); +30 AllStat (A06P); +60 DMG (A05Z); +30 DMG (A36M),"Повышение AllStat на 30, увеличение атаки на 90 ед., каждая атака дополнительно наносит 80 ед. чистого урона, пробивающий резисты, но не щиты. |   | Passive: ""Оглушающий удар"" - 20% шанс оглушить на 1 сек. (0.2, если активен Imagine Breaker), CD: 2 сек. |  | Active: Бросок шара летящего в направлении до первого врага в радиусе 150 либо дальности 1500,нанося урон авто-атака х1.5 в области 300 и оглушение 1.5 сек. | CD: 25 сек","Increases AllStat by 30, AD by 90, each attack additionally deals 80 pure damage (pierces resists but not shields). | Passive: ""Stunning Blow"" - 20% chance to stun for 1 sec (0.2 sec if Imagine Breaker active), CD: 2 sec. | Active: Throws a projectile toward the first enemy in radius 150 or range 1500, dealing autoattack x1.5 in area 300 and stunning for 1.5 sec. | CD: 25 sec.",Madao Hat (I033) + ANBU Sword (I03B) + Medallion of Courage (I01M) + Gegetsuburi (Recipe) (I051),
I053,Recipes 2 (n015),Коса смерти (рецепт),Death Scythe (Recipe),,,,1400,,,,,,,,,,,,,,,,,,,"Повышение AGI на 60 ед., HP на 500,MP на 500, атаки на 125 ед. ""Размашистые удары"" - 120% сплеша в радиусе 600. |  | Перезарядка: 25 сек. |  | Active: ""Охота на кишина""  | Требуется:Меч Анбу,Меч Ранга B, Рецепт.","Increases AGI by 60, HP by 500, MP by 500, AD by 125. ""Sweeping Strikes"" - 120% splash in radius 600. | Cooldown: 25 sec. | Active: ""Kishin Hunt"" | Requires: ANBU Sword, Sword Rank B, Recipe.",,Death Scythe [Weapon] (ISDi)
ISDi,Weapons (n00F),Коса Смерти |r|c00FF5555Weapon|r,Death Scythe [Weapon],,,,5000,,60,,,125,,,,500,500,,,,,,25,200,Active CD=25s mana=200 (A0OM); Spellbook: [+125 DMG (A06O); +500 Max HP (A0S9); +60 AGI (A0OK)] (AH1M); +500 Max MP (A186),"Повышение AGI на 60 ед., HP на 500,MP на 500, атаки на 125 ед. ""Размашистые удары"" - 120% сплеша в радиусе 600. |  | Active: ""Охота на кишина"" - волна энергии с дальностью 1500,областью: 260, оглушающая на 2 сек. противников и наносящая 5*AGI урона | С 35 уровня урон +2*AGI. |  | Перезарядка: 25 сек.","Increases AGI by 60, HP by 500, MP by 500, AD by 125. ""Sweeping Strikes"" - 120% splash in radius 600. | Active: ""Kishin Hunt"" - energy wave with range 1500, area 260, stunning enemies for 2 sec and dealing 5*AGI damage. | From level 35 damage +2*AGI. | Cooldown: 25 sec.","ANBU Sword (I03B) + Sword, Rank B (I01I) + Death Scythe (Recipe) (I053)",
I01H,Base Items (n004),"Меч, Ранг D","Sword, Rank D",,,,600,,,,6,20,,,,,,,,,,,,,+20 DMG (A099); +6 AllStat (A0VK),Повышение силы атаки на 20 ед. и характеристик на 6 ед.,Increases AD by 20 and stats by 6.,,"Sword, Rank C (I01J) , Sode no Shirayuki Weapon (ISHk)"
I01R,Recipes (n005),Сюсуй (рецепт),Shusui (Recipe),,,,750,,,,,,,,,,,,,,,,,,,"Повышение силы атаки на 100 ед., AllStat на 30, шанс 25% нанести 2х урон. Passive: ""Смертельная волна"" - 20% шанс нанести 3*AGI урон. | Раз в 3 сек 100% шанс на ""Смертельная волна"" | Active: ""Быстрые Удары"" - перемещается к противнику, нанося 3+2 за каждый предмет класса Weapon ударов. Недоступно до 6 уровня. | Перезарядка: 15 сек. |  | Требуется: Сандай Китетсу, Рецепт.","Increases AD by 100, AllStat by 30, 25% chance to deal 2x damage. Passive: ""Deadly Wave"" - 20% chance to deal 3*AGI damage. | Every 3 sec 100% chance for ""Deadly Wave"". | Active: ""Quick Strikes"" - dashes to enemy, dealing 3+2 per Weapon class item hits. Unavailable until level 6. | Cooldown: 15 sec. | Requires: Sandai Kitetsu, Recipe.",,Shusui [Weapon] (I01Q)
I01P,Recipes (n005),Сандай Китетсу (рецепт),Sandai Kitetsu (Recipe),,,,1000,,,,,,,,,,,,,,,,,,,"Повышение силы атаки на 80 ед., AllStat на 25 ед., Passive: ""Смертельный удар"" - 20% шанс нанести 2х урон. |  | Перезарядка: 15 сек. |  | Требуется: Закаленный меч, Рецепт.","Increases AD by 80, AllStat by 25. Passive: ""Critical Strike"" - 20% chance to deal 2x damage. | Cooldown: 15 sec. | Requires: Tempered Sword, Recipe.",,Sandai Kitetsu [Weapon] (I01O)
I01J,,"Меч, Ранг C","Sword, Rank C",,,,1350,,,,12,40,,,,,,,,,1.5,,,,+40 DMG (A25Y); +12 AllStat (A0VL); Crit x1.5 (A0VO),"Повышение силы атаки на 40 ед. и характеристик на 12 ед., Passive: ""Смертельный удар"" - шанс 15% нанести 1.5х урон","Increases AD by 40 and stats by 12. Passive: ""Critical Strike"" - 15% chance to deal 1.5x damage.","Sword, Rank D (I01H) + Upgrade Item (I00E)","Sword, Rank B (I01I)"
